Personen/Institute,institution,type of relation,country,source
Patrick Moore,Pro-Lausitz Braunkohle,Hielt bei einer Veranstaltung Vortrag,Deutschland,https://www.pro-lausitz.de/index.php/aktuelle_nachrichten/items/greenpeace-gruender-patrick-moore-zu-besuch-in-der-lausitz.html
Patrick Moore,C02-Coalition,CO2 COALITION BOARD OF DIRECTORS,USA,https://co2coalition.org/about/
Patrick Moore,Euracoal,Hielt bei einer Veranstaltung Vortrag,Europe/Brussels,https://www.desmog.co.uk/2016/03/14/coal-lobbyists-euracoal-paid-patrick-moore-dinner-climate-science-deniers-eu-officials-and-european-parliament-members
Manfred Heimbuchner,FPÖ,"""Plädierte als Vorsitzender der FPÖ-Österreich für die Aufgabe des Klimaschutzes zugunsten von Voestalpine AG""",,
Brian Ricketts,Euracoal,"Generalsekretär, leugnete AGW im Interview",,Interview mit uns
Patrick Moore,Clexit,ist Mitglied,,http://clexit.net/wp-content/uploads/2016/07/clexit-members.pdf
Koch-Brothers ,Heartland Institut,finanzierten heartland,,https://archive.is/MTUjW
Koch-Brothers ,C02-Coalition,finanzierten die CO2-Coalition,,https://archive.is/MTUjW
Robert & Rebekah Mercer,Heartland Institut,finanzierten heartland,,http://conservativetransparency.org/top/?recipient=29133&yr=2009&yr1=&yr2=2014&submit=
Robert & Rebekah Mercer,C02-Coalition,finanzierten die CO2-Coalition,,https://www.washingtonpost.com/politics/the-mercers-trump-mega-donors-back-group-that-casts-doubt-on-climate-science/2017/03/26/dc1fde86-109b-11e7-9b0d-d27c98455440_story.html?utm_term=.843d74ee37ac
Patrick Moore,Heartland Institut,Listed at about us,,https://www.heartland.org/about-us/who-we-are?q=Moore#content
Nils-Alex Mörner,International Committee on Geoethics,Mitglied,,https://geoethic.com/membership/
Niels Axel Mörner,Co2-Coalition,Co2-Coalition finanziert Mörner,Das sagte er in einem Interview mit Susanne Götze,
Stuart Agnew,International Committee on Geoethics,hielten Vortrag?,,https://geoethic.com/events/
Roger Helmer,International Committee on Geoethics,hielten Vortrag?,,https://geoethic.com/events/
Willie Soon ,Clexit Member,astrophysicist & geoscientist,,http://clexit.net/wp-content/uploads/2016/07/clexit-members.pdf
John Heugh,Clexit Member,aviation & agribusiness,,http://clexit.net/wp-content/uploads/2016/07/clexit-members.pdf
Viv Forbes,Clexit Member,ehem. Direktor von Stanmore Coal,,https://www.asx.com.au/asxpdf/20161130/pdf/43dbzp05hbd43m.pdf
Dominic Boot,Clexit Member,War früher in der Niederl. Öl-industrie,,http://clexit.net/wp-content/uploads/2016/07/clexit-members.pdf
Hugh Morgan,Clexit Member,Western Mining Corporatio,,http://clexit.net/wp-content/uploads/2016/07/clexit-members.pdf
Philip Lloyd,Clexit Member,Career in mining industry,,http://clexit.net/wp-content/uploads/2016/07/clexit-members.pdf
Willie Soon,"Co-autor: Solar Forcing of Climate,” in Climate Change Reconsidered II",,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.670.7686&rep=rep1&type=pdf
Sebastian Lüning,"Co-autor: Solar Forcing of Climate,” in Climate Change Reconsidered II",,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.670.7686&rep=rep1&type=pdf
Sebastian Lüning,„Die kalte Sonne: warum die Klimakatastrophe nicht stattfindet“,,,https://www.klimafakten.de/meldung/wie-redlich-ist-vahrenholts-buch-die-kalte-sonne
Fritz Vahrenholt,„Die kalte Sonne: warum die Klimakatastrophe nicht stattfindet“,,,https://www.klimafakten.de/meldung/wie-redlich-ist-vahrenholts-buch-die-kalte-sonne
Fritz Vahrenholt,RWE-Innogy,Ehemals: Chief Executive Officer,,http://www.rwe.com/web/cms/de/66234/rwe/lebenslauf-prof-dr-fritz-vahrenholt/
Fritz Vahrenholt, Aurubis AG,https://www.aurubis.com/de/uber-aurubis/konzern/aufsichtsrat,,http://www.rwe.com/web/cms/de/66234/rwe/lebenslauf-prof-dr-fritz-vahrenholt/
Howard Dewhirst,International Committee on Geoethics,"Hielt auf der Porto 2018 Konferenz einen Vortrag, INterview mit Annika",,https://geoethic.com/events/
Howard Dewhirst,Petroalbian,Geschäftsführer,,https://www.linkedin.com/in/howard-dewhirst-b0a55718/?originalSubdomain=au
Business  Europe,,Internes Memo zur Ablehnung von Klimaschutzmaßnahmen,,https://www.euractiv.com/section/energy-environment/news/the-brief-businesseurope-as-usual/
Sebastian Lüning,Galp (Oil & Gas Company),Geologist,,https://www.linkedin.com/in/sebastian-luening-b6834852/?locale=en_US
Sebastian Lüning,EIKE,Hielt Vortrag bei EIKE,,https://www.youtube.com/watch?v=XCltWTbwzzU
Sebastian Lüning,Heartland,Hielt Vortrag bei Heartland,,https://www.youtube.com/watch?time_continue=1&v=1DcFtmUi82Y








,,,,
,,,,
,,,,
,,,,
,,,,
