Personen/Institute,institution,type of relation,country,source,
Philipp Lengsfeld,CDU MdB,Hielt Vortrag bei EIKE,Germany,https://www.youtube.com/watch?v=uH-SeLOYegQ,
Albrecht Deß,"CSU MEP, im Agrarausschuss",,Germany,http://www.nordbayern.de/region/roth/neujahrsempfang-der-csu-roth-albert-dess-kritisiert-angstmacherei-1.7074977,
Klaus Peter Schulze,CDU MdB,Veranstaltung mit Patrick Moore,Germany,https://www.klaus-peter-schulze.de/index.php?ka=3&ska=7&step=1&bnr=&ids=285,
Berliner Kreis,CDU,"„Die Autoren wenden sich demnach gegen einen einseitig negativen Blick auf die Folgen der Erderwärmung. So seien „„die mit dem Schmelzen des polaren Meereises verbundenen Chancen (eisfreie Nordpassage, neue Fischfangmöglichkeiten, Rohstoffabbau) vermutlich sogar größer als mögliche negative ökologische Effekte““",Germany,http://www.fr.de/wissen/klimawandel/klimawandel/berliner-kreis-konservative-in-der-cdu-wollen-klimaschutz-aufweichen-a-1290722,
Marie Luise Dött,CDU,"""Sie hatte dort den Vortrag des US-Klimawandelleugners Fred Singer als „sehr einleuchtend“ gelobt, die Klimapolitik der Bundesregierung als „Ersatzreligion“ bezeichnet und dafür geworben, „gesellschaftliche Mehrheiten“ für die Thesen der Leugner zu schaffen.""",Germany,http://www.taz.de/!378612/,
Michael Limburg,EIKE,Vizepräsident EIKE,Germany,https://www.rbb-online.de/kontraste/archiv/kontraste-vom-18-01-2018/klimaleugner-aus-der-nische-in-den-bundestag.html,
Michael Limburg,AfD,Listenplatz 10  Landesliste Brandenburg zur Bundestagswahl 2017,Germany,https://www.afd.de/person/ing-michael-limburg/,
Vera Lengsfeld,CDU,Gastauthor bei EIKE ,Germany,https://www.eike-klima-energie.eu/author/vera-lengsfeld-1/,
Karsten Hilse,AfD,Bundestagsrede / Einstellung aller Klimaschutzaktivitäten,Germany,https://www.presseportal.de/pm/130241/3982113,
Peter Heller,Tichys Einblick,zweifelt CO2/menschengemachten Klimawandel an,Germany,https://www.tichyseinblick.de/kolumnen/lichtblicke-kolumnen/klimaschutz-nennt-es-bitte-nicht-wissenschaft/,
Peter Heller,Die Achse des Guten,zweifelt CO2/menschengemachten Klimawandel an,Germany,https://www.achgut.com/artikel/klimaaktivisten_esoteriker_aller_laender_vereinigt_euch,
Horst Lüdecke,Die freie Welt,als Author,Germany,www.freiewelt.net/nc/autor/?tx_ttnews%5Bswords%5D=Prof.%20Dr.%20Horst-Joachim%20L%C3%BCdecke,
Klaus Dieter Humpich,Die freie Welt,als Author,Germany,https://www.freiewelt.net/interview/das-zeitalter-der-kerntechnik-beginnt-gerade-erst-interview-mit-dr-klaus-dieter-humpich-17488/,
Wolfgang Thüne,Die freie Welt,als Author,Germany,https://www.freiewelt.net/blog/paris-wollte-es-aber-koeln-hat-das-klima-veraendert-10065187/,
Horst Lüdecke,EIKE,Pressesprecher EIKE,Germany,https://www.eike-klima-energie.eu/ueber-uns/impressum/,
Klaus Dieter Humpich,EIKE,als Author,Germany,https://www.eike-klima-energie.eu/2013/06/23/das-zeitalter-der-kerntechnik-beginnt-gerade-erst-interview-mit-dr-klaus-dieter-humpich/,
Wolfgang Thüne,EIKE,als Author,Germany,https://www.eike-klima-energie.eu/2016/11/25/bauer-gegen-stromkonzern-ein-leserbrief-von-wolfgang-thuene/,
Jürgen Elsässer,Compact,COMPACT-SPEZIAL 15 | KLIMAWANDEL – FAKTEN GEGEN HYSTERIE,Germany,https://www.compact-shop.de/shop/compact-spezial/compact-spezial-15-klimawandel-fakten-gegen-hysterie/,
Erika Steinbach,Erasmus-Stiftung,"Parteinahe Stiftung der AfD / Leugnete menschgemachten Klimawandel in einem Interview (2013), hat sich auch in mehreren Tewwets aus 2017 skeptisch zu dem Thema geäußert",Germany,https://www.youtube.com/watch?v=rMMRjfVIDqc,
Alice Weidel,AfD,Zweifelte menschengemachten Klimawandel an,Germany,"https://www.schwaebische.de/ueberregional/politik_artikel,-weidel-klimawandel-nicht-menschengemacht-_arid,10734598.html",
Beatrix von Storch,AfD,Zweifelte menschengemachten Klimawandel an im Interview mit Jung und Naiv,Germany,https://www.youtube.com/watch?v=IV8UzT_9bXg,
Dirk Spaniel,AfD,rüheren Daimler-Managers,Germany,https://www.welt.de/regionales/baden-wuerttemberg/article171892892/AfD-Verkehrsexperte-kritisiert-Hype-um-Elektroautos.html,
Rainer Kraft,AfD,klimapolitischer Sprecher,Germany,https://www.welt.de/regionales/baden-wuerttemberg/article171892892/AfD-Verkehrsexperte-kritisiert-Hype-um-Elektroautos.html,
Frank Schäffler,FDP,Hayek-Gesellschaft,Germany,https://hayek.de/hayek-gesellschaft/vorstand/,
Carlos A. Gebauer,FDP,Hayek-Gesellschaft,Germany,https://hayek.de/hayek-gesellschaft/vorstand/,
alice Weidel,AfD,Hayek-Gesellschaft,Germany,Wir warten auf Rückmeldung,
Beatrix von Storch,AfD,Hayek-Gesellschaft,Germany,"Am 4. Dezember 2018, durch Email von Gérard Bökenkamp (wissenschaftlicher mitarbeiter im Büro von von Storch) bestätigt",
Patrick Moore,CO2 Coalition,International agierender Klimawandelleugner,Germany,https://co2coalition.org/members/patrick-moore-phd/,
Patrick Moore,Heartland Institut,International agierender Klimawandelleugner,Germany,https://www.heartland.org/about-us/who-we-are?q=Moore#content,
Patrick Moore,Clexit,International agierender Klimawandelleugner,Germany,http://clexit.net/wp-content/uploads/2016/07/clexit-members.pdf,
Frank Schäffler,FDP,Liberaler Aufbrauch,Germany,https://www.welt.de/welt_print/politik/article9625638/Liberaler-Aufbruch-Freidenker-wollen-radikalere-FDP.html,
Carlos A.  Gebauer,FDP,Liberaler Aufbrauch,Germany,https://www.welt.de/welt_print/politik/article9625638/Liberaler-Aufbruch-Freidenker-wollen-radikalere-FDP.html,
Horst Rehberger,FDP,Befreundet mit Patrick Moore,Germany,Im Interview berichtet,
,,,,,
