Petitions:,Year
2007_Bali_Climate_Declaration_by_Scientists,2007
2009_Statement_from_the_UK_science_community,2009
300_Scientists_Want_NOAA_To_Stop_Hiding_Its_Global_Warming_Data,
400_scientifiques_signent_contre_Claude_All%C3%A8gre,
A_Letter_to_the_National_Association_of_Evangelicals_on_the_Issue_of_Global_Warming,
A_PragerU_Presenter_is_Being_Persecuted_for_Disagreeing_with_the_Left_on_Climate_Change,
A_Scientific_Dissent_From_Darwinism,
Alternative_Copenhagen_Deal,
An_Open_Letter_to_Environmentalists_on_Nuclear_Energy,
An_Open_Letter_to_Museums_from_Members_of_the_Scientific_Community,
An_Open_Letter_to_Museums_from_Members_of_the_Scientific_Community_-_An_open_response,
An_Open_Letter_to_Pope_Francis_on_Climate_Change,
An_Open_Letter_to_President_Clinton_from_240_Economists_on_Antitrust_Protectionism,
An_Open_Letter_to_President_Clinton_on_Healthcare_Reform,
An_Open_Letter_to_the_Prime_Minister_of_Canada_on_Climate_Change_Science,
An_Urgent_Call_to_Action,
An_urgent_call_to_scientists_to:_Defend_Science!,
Bali_open_letter,
Cato_petition_to_Barack_Obama,
Check_With_Climate_Scientists_for_Views_on_Climate,
Citizen%E2%80%99s_Petition_to_Rein_in_the_Environmental_Protection_Agency,
Climate_Change_and_the_Integrity_of_Science,
Climate_change_is_real:_an_open_letter_from_the_scientific_community,
Climate_Engage,
Climate_Science_and_Public_Policy_in_Iowa,
Copenhagen_Climate_Challenge,
Cornwall_Declaration_on_Environmental_Stewardship,
"Cross_Section_of_U.S._Business,_Agriculture_Asks_Congress_to_Postpone_EPA_Regulations",
Darmstadt_Manifesto_on_the_Exploitation_of_Wind_Energy_in_Germany,
Defend_Science_A-F,
Defend_Science_G-L,
Defend_Science_M-R,
Defend_Science_S-Z,
Deniers_are_not_Skeptics,
Der_offene_Brief_der_%C3%96konomen,
Endangered_Species_Act_-_letter_to_James_Inhofe,
Enemies_of_enterprise_seek_controls_on_tobacco,
Energiepolitischer_Appell,
Formal_Request_to_audit_BOM_and_CSIRO_Climate_Data_and_Advice,
"Former_NASA_scientists,_astronauts_admonish_agency_on_climate_change_position",
Forty_Four_Free-Market_Groups_Urge_Trump_To_Withdraw_from_Paris_Climate_Agreement,
GMI_letter_to_George_W._Bush,
Heidelberg_Appeal,
Inhofe_list,
June_2014_letter_of_support_to_Lamar_Smith,2014
Kernkraft_ist_Energie_ohne_Zukunft,
Klacht_over_tendentieuze_berichtgeving_NOS_inzake_klimaat,
Kleine_Anfrage_an_die_Bundestagsfraktion_B%C3%9CNDNIS_90/DIE_GR%C3%9CNEN,
Klimamanifest_von_Heiligenroth,
KNAW_report_petition,
Leipzig_Declaration,
Letter_from_Republican_Officials_on_Vehicle_Standards,
Letter_from_Scientific_Experts_to_President_Obama_Regarding_Authorization_of_the_Keystone_XL_Pipeline,
Letter_Russian_scientists,
Letter_to_president_Bush_on_CO2_Endangerment_Proceeding,
Links_to_Lists_collected_by_Prall,
Manhattan_Declaration,
Many_leading_scientists_tell_the_EPA_to_think_again,
Mens_niet_schuldig_aan_opwarming,
Monaco_Declaration_on_Ocean_Acidification,
No_Climate_Tax,
No_Need_to_Panic_About_Global_Warming,
Open_letter_by_Dutch_scientists_on_IPCC_and_errors_in_Climate_Report_2007,2007
Open_Letter_from_U.S._Scientists_on_the_IPCC,
Open_Letter_on_Climate_Change_Science_to_all_Canadian_Elected_Government_Leaders,
Open_letter_to_Angela_Merkel,
Open_letter_to_APS,
Open_Letter_to_Attorneys_General_about_Climate_Change,
Open_Letter_to_Congress_from_U.S._Scientists_on_Climate_Change_and_Recently_Stolen_Emails,
Open_Letter_to_Donald_Trump,
Open_letter_to_Fredrik_Reinfeldt,
Open_letter_to_Fredrik_Reinfeldt_-_Signers_1-500,
Open_letter_to_Fredrik_Reinfeldt_-_Signers_1001-1355,
Open_letter_to_Fredrik_Reinfeldt_-_Signers_501-1000,
Open_letter_to_Jean_Chr%C3%A9tien,
Open_letter_to_Martin_Durkin,
Open_letter_to_Paul_Martin,
Open_letter_to_President_Rousseff,
Open_letter_to_Stephen_Harper,
Oregon_Petition,
Oregon_Petition_signers_A,
Oregon_Petition_signers_B,
Oregon_Petition_signers_C,
Oregon_Petition_signers_D,
Oregon_Petition_signers_E,
Oregon_Petition_signers_F,
Oregon_Petition_signers_G,
Oregon_Petition_signers_H,
Oregon_Petition_signers_I,
Oregon_Petition_signers_J,
Oregon_Petition_signers_K,
Oregon_Petition_signers_L,
Oregon_Petition_signers_M,
Oregon_Petition_signers_N,
Oregon_Petition_signers_O,
Oregon_Petition_signers_P,
Oregon_Petition_signers_Q,
Oregon_Petition_signers_R,
Oregon_Petition_signers_S,
Oregon_Petition_signers_T,
Oregon_Petition_signers_U,
Oregon_Petition_signers_V,
Oregon_Petition_signers_W,
Oregon_Petition_signers_X,
Oregon_Petition_signers_Y,
Oregon_Petition_signers_Z,
Over_70_Nobel_Science_Laureates_Endorse_Obama,
Over_800_of_Canada%27s_leading_scientists_have_made_an_impact,
Petitie_voor_een_open_debat_over_klimaat,
Petition_Opposing_Cap-and-Trade,
Protect_the_Poor:_Ten_Reasons_to_Oppose_Harmful_Climate_Change_Policies,
Qatar_open_letter,
State_of_Climate_Science_signers_A-F,
State_of_Climate_Science_signers_G-L,
State_of_Climate_Science_signers_M-R,
State_of_Climate_Science_signers_S-Z,
Statement_by_Atmospheric_Scientists_on_Greenhouse_Warming,
Statement_by_the_Council_of_the_NAS_Regarding_Global_Change_Petition,
Stockholm_Memorandum,
Strip_Al_Gore_and_The_UN_IPCC_of_Their_2007_Nobel_Peace_Prize,2007
Strip_Al_Gore_and_The_UN_IPCC_of_Their_2007_Nobel_Peace_Prize_-_Signers_1_-_1000,2007
Strip_Al_Gore_and_The_UN_IPCC_of_Their_2007_Nobel_Peace_Prize_-_Signers_1001_-_2000,2007
Strip_Al_Gore_and_The_UN_IPCC_of_Their_2007_Nobel_Peace_Prize_-_Signers_2001_-_3000,2007
Strong_Leadership_Needed_Now_on_Climate,
Template:Petition,
The_Importance_of_Science_in_Addressing_Climate_Change,
The_Register_of_Climate_Realists,
The_Social_and_Economic_Impact_of_Rural_Wind_Farms,
The_State_of_Climate_Science:_October_2003,2003
The_Truth_About_Climate_Change_Open_Letter,
The_UN_Climate_Change_Panel_must_be_called_to_account_and_cease_its_deceptive_practices,
To_the_Congress_of_the_United_States:_You_are_being_deceived_about_Global_Warming,
U.S._Scientists_and_Economists%27_Call_for_Swift_and_Deep_Cuts_in_Greenhouse_Gas_Emissions,
