Petitions,Number of Signatures,Year,Note,Source
Oregon Petition,31011,1999 – 2001,https://www.snopes.com/fact-check/30000-scientists-reject-climate-change/,https://de.wikipedia.org/wiki/Oregon-Petition
UCS  2008  signers ,3763,2008,,https://en.wikipedia.org/wiki/Union_of_Concerned_Scientists
Defend  Science,2861,,,
Kleine Anfrage an die Bundestagsfraktion Bündnis 90 die Grünen ,2415,2010,,http://www.science-skeptical.de/blog/kleine-anfrage-an-die-bundestagsfraktion-bundnis-90die-grunen/003390/
Strip  Al  Gore  and  The  UN  IPCC  of  Their  2007  Nobel  Peace  Prize,2304,2007,,https://www.ipetitions.com/petition/nomorenobel/
2009  Statement  from  the  UK  science  community,1705,2009,,
Manhattan  Declaration,1673,2009,Nothing about Climate Change,https://www.manhattandeclaration.org/
Open  letter  to  Fredrik  Reinfeldt,1363,2009,,http://www.climatescienceinternational.org/index.php?option=com_content&view=article&id=246:openlettereu2009&catid=14:text
State of Climate Science signers,1019,2003?,Habe nichts verlässliches finden können,
No  Climate  Tax,962,,Ist es dieses? : https://www.forbes.com/sites/beltway/2015/06/02/whats-up-with-the-no-climate-tax-pledge/,https://www.therebel.media/nocarbontax
A  Scientific  Dissent  From  Darwinism,861,2001,Rather a creationist-list,https://www.discovery.org/scripts/viewDB/filesDB-download.php?command=download&id=660
Over  800  of  Canada's  leading  scientists  have  made  an  impact,849,,Couldn't find that one,
Virginia  Scientist  Letter,811,,Couldn't find that one,
Inhofe  list,732,2008,Inhofe is a politician that denies climate change,https://web.archive.org/web/20120604125216/http://www.thedailygreen.com/environmental-news/latest/inhofe-global-warming-deniers-scientists-46011008
Energiepolitischer  Appell,666,2010,,https://de.wikipedia.org/wiki/Energiepolitischer_Appell
Open  letter  to  Angela  Merkel,544,2016,,http://unser-mitteleuropa.com/2016/09/02/open-letter-to-angela-merkel/
Wir  brauchen  eine  zukunftsorientierte  und  realistische  Energiepolitik!,422,,Kann die Domain nicht mehr finden,Sturmlauf: Wir brauchen eine zukunftsorientierte und realistische Energiepolitik
400 scientifiques signent contre Claude Allègre,395,2010,,https://www.crashdebug.fr/actualites-france/761-demission-du-premier-ministre-belge-qtout-est-dans-les-mains-du-roiq-v15-761
Climate  Engage,375,,Keine wirkliche Leugner Studie,http://www.cesifo-group.de/de/ifoHome/research/Projects/Archive/Projects_AH/2018/proj-AH-Engage.html
Klimamanifest  von  Heiligenroth,341,2007,,https://www.klimamanifest-von-heiligenroth.de/wp/
