Petition,Abbrev
2007 Bali Climate Declaration by Scientists,2007  Bali  Climate  Declaration  by  Scientists
2009 Statement from the UK science community,2009  Statement  from  the  UK  science  community
300 Scientists Want NOAA To Stop Hiding Its Global Warming Data,300  Scientists  Want  NOAA  To  Stop  Hiding  Its  Global  Warming  Data
400 scientifiques signent contre Claude Allègre,400 scientifiques signent contre Claude Allègre
A Letter to the National Association of Evangelicals on the Issue of Global Warming,A  Letter  to  the  National  Association  of  Evangelicals  on  the  Issue  of  Global  Warming
A Prager Presenter is Being Persecuted for Disagreeing with the Left on Climate Change,A  PragerU  Presenter  is  Being  Persecuted  for  Disagreeing  with  the  Left  on  Climate  Change
A Scientific Dissent From Darwinism,A  Scientific  Dissent  From  Darwinism
Alternative Copenhagen Deal,Alternative  Copenhagen  Deal
An Open Letter to Environmentalists on Nuclear Energy,An  Open  Letter  to  Environmentalists  on  Nuclear  Energy
An Open Letter to Museums from Members of the Scientific Community,An  Open  Letter  to  Museums  from  Members  of  the  Scientific  Community
An Open Letter to Museums from Members of the Scientific Community - An open response,An  Open  Letter  to  Museums  from  Members  of  the  Scientific  Community  -  An  open  response
An Open Letter to Pope Francis on Climate Change,An  Open  Letter  to  Pope  Francis  on  Climate  Change
An Open Letter to President Clinton from 240 Economists on Antitrust Protectionism,An  Open  Letter  to  President  Clinton  from  240  Economists  on  Antitrust  Protectionism
An Open Letter to President Clinton on Healthcare Reform,An  Open  Letter  to  President  Clinton  on  Healthcare  Reform
An Open Letter to the Prime Minister of Canada on Climate Change Science,An  Open  Letter  to  the  Prime  Minister  of  Canada  on  Climate  Change  Science
An Urgent Call to Action,An  Urgent  Call  to  Action
An urgent call to scientists to: Defend Science!,An  urgent  call  to  scientists  to:  Defend  Science!
Bali open letter,Bali  open  letter
Cato petition to Barack Obama,Cato  petition  to  Barack  Obama
Check With Climate Scientists for Views on Climate,Check  With  Climate  Scientists  for  Views  on  Climate
Citizen's Petition to Rein in the Environmental Protection Agency,Citizen's Petition to Rein in the Environmental Protection Agency
Climate Change and the Integrity of Science,Climate  Change  and  the  Integrity  of  Science
Climate change is real: an open letter from the scientific community,Climate  change  is  real:  an  open  letter  from  the  scientific  community
Climate Engage,Climate  Engage
Climate Science and Public Policy in Iowa,Climate  Science  and  Public  Policy  in  Iowa
Copenhagen Climate Challenge,Copenhagen  Climate  Challenge
Cornwall Declaration on Environmental Stewardship,Cornwall  Declaration  on  Environmental  Stewardship
"Cross Section of U.S. Business, Agriculture Asks Congress to Postpone EPA Regulations","Cross  Section  of  U.S.  Business,  Agriculture  Asks  Congress  to  Postpone  EPA  Regulations"
Darmstadt Manifesto on the Exploitation of Wind Energy in Germany,Darmstadt  Manifesto  on  the  Exploitation  of  Wind  Energy  in  Germany
Defend Science A-F,Defend  Science
Defend Science G-L,Defend  Science
Defend Science M-R,Defend  Science
Defend Science S-Z,Defend  Science
Deniers are not Skeptics,Deniers  are  not  Skeptics
Der offene Brief der Ökonomen,Der  offene  Brief  der  Ökonomen
Endangered Species Act - letter to James Inhofe,Endangered  Species  Act  -  letter  to  James  Inhofe
Enemies of enterprise seek controls on tobacco,Enemies  of  enterprise  seek  controls  on  tobacco
Energiepolitischer Appell,Energiepolitischer  Appell
Formal Request to audit BOM and CSIRO Climate Data and Advice,Formal  Request  to  audit  BOM  and  CSIRO  Climate  Data  and  Advice
"Former NASA scientists, astronauts admonish agency on climate change position","Former  NASA  scientists,  astronauts  admonish  agency  on  climate  change  position"
Forty Four Free-Market Groups Urge Trump To Withdraw from Paris Climate Agreement,Forty  Four  Free-Market  Groups  Urge  Trump  To  Withdraw  from  Paris  Climate  Agreement
GMI letter to George W. Bush,GMI  letter  to  George  W.  Bush
Heidelberg Appeal,Heidelberg  Appeal
Inhofe list,Inhofe  list
June 2014 letter of support to Lamar Smith,June  2014  letter  of  support  to  Lamar  Smith
Kernkraft ist Energie ohne Zukunft,Kernkraft  ist  Energie  ohne  Zukunft
Klacht over tendentieuze berichtgeving NOS inzake klimaat,Klacht  over  tendentieuze  berichtgeving  NOS  inzake  klimaat
Kleine Anfrage an die Bundestagsfraktion B%C3%9CNDNIS 90/DIE GR%C3%9CNEN,Kleine Anfrage an die Bundestagsfraktion Bündnis 90 die Grünen 
Klimamanifest von Heiligenroth,Klimamanifest  von  Heiligenroth
KNAW report petition,KNAW  report  petition
Leipzig Declaration,Leipzig  Declaration
Letter from Republican Officials on Vehicle Standards,Letter  from  Republican  Officials  on  Vehicle  Standards
Letter from Scientific Experts to President Obama Regarding Authorization of the Keystone XL Pipeline,Letter  from  Scientific  Experts  to  President  Obama  Regarding  Authorization  of  the  Keystone  XL  Pipeline
Letter Russian scientists,Letter  Russian  scientists
Letter to president Bush on CO2 Endangerment Proceeding,Letter  to  president  Bush  on  CO2  Endangerment  Proceeding
Links to Lists collected by Prall,Links  to  Lists  collected  by  Prall
Manhattan Declaration,Manhattan  Declaration
Many leading scientists tell the EPA to think again,Many  leading  scientists  tell  the  EPA  to  think  again
Mens niet schuldig aan opwarming,Mens  niet  schuldig  aan  opwarming
Monaco Declaration on Ocean Acidification,Monaco  Declaration  on  Ocean  Acidification
No Climate Tax,No  Climate  Tax
No Need to Panic About Global Warming,No  Need  to  Panic  About  Global  Warming
Open letter by Dutch scientists on IPCC and errors in Climate Report 2007,Open  letter  by  Dutch  scientists  on  IPCC  and  errors  in  Climate  Report  2007
Open Letter from U.S. Scientists on the IPCC,Open  Letter  from  U.S.  Scientists  on  the  IPCC
Open Letter on Climate Change Science to all Canadian Elected Government Leaders,Open  Letter  on  Climate  Change  Science  to  all  Canadian  Elected  Government  Leaders
Open letter to Angela Merkel,Open  letter  to  Angela  Merkel
Open letter to APS,Open  letter  to  APS
Open Letter to Attorneys General about Climate Change,Open  Letter  to  Attorneys  General  about  Climate  Change
