source,target,Typ,label,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
environmental issues council,sound science in public policy,Undirected,a. alan moghissi,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,TRUE,TRUE
center of the american experiment,john william pope center for higher education policy,Undirected,abigail thernstrom,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center of the american experiment,manhattan institute for policy research,Undirected,abigail thernstrom,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
john william pope center for higher education policy,manhattan institute for policy research,Undirected,abigail thernstrom,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
montreal economic institute,canadian taxpayers federation,Undirected,adam daifallah,unconvinced of agw,canada,north america,unconvinced of agw,canada,north america,FALSE,FALSE
philanthropy roundtable,state policy network,Undirected,adam meyerson,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
campus reform,leadership institute,Undirected,adam weinberg,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
campus reform,young americans for liberty,Undirected,adam weinberg,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
leadership institute,young americans for liberty,Undirected,adam weinberg,unconvinced of agw,usa,north america,,usa,north america,FALSE,FALSE
american policy center,center for the defense of free enterprise,Undirected,alan caruba,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american policy center,principia scientific international,Undirected,alan caruba,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
american policy center,sovereignty international,Undirected,alan caruba,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center for the defense of free enterprise,principia scientific international,Undirected,alan caruba,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center for the defense of free enterprise,sovereignty international,Undirected,alan caruba,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
principia scientific international,sovereignty international,Undirected,alan caruba,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
center for the defense of free enterprise,council for national policy,Undirected,alan gottlieb,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
tobacco institute,sound science in public policy,Undirected,alan gross,,usa,north america,unconvinced of agw,unknown,unknown,TRUE,TRUE
conservative action network,the galileo movement,Undirected,alan jones,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,FALSE,FALSE
australian apec study centre,clexit,Undirected,alan moran,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,TRUE,TRUE
australian apec study centre,world growth institute,Undirected,alan oxley,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,FALSE,FALSE
australian apec study centre,ecipe,Undirected,alan oxley,unconvinced of agw,australia,oceania,,belgium,europe,TRUE,TRUE
world growth institute,ecipe,Undirected,alan oxley,unconvinced of agw,australia,oceania,,belgium,europe,TRUE,TRUE
john locke institute,institute of economic affairs,Undirected,alan peacock,,usa,north america,unconvinced of agw,uk,europe,TRUE,TRUE
john locke institute,freedom organisation for the right to enjoy smoking tobacco,Undirected,alan peacock,,usa,north america,,uk,europe,TRUE,TRUE
institute of economic affairs,freedom organisation for the right to enjoy smoking tobacco,Undirected,alan peacock,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
the cobden centre,istituto bruno leoni,Undirected,alberto mingardi,unconvinced of agw,uk,europe,unconvinced of agw,italy,europe,TRUE,FALSE
the freedom association,liberty league,Undirected,alex deane,unconvinced of agw,uk,europe,,uk,europe,FALSE,FALSE
ayn rand center,center for industrial progress,Undirected,alex epstein,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,FALSE,FALSE
atlas society,niskanen center,Undirected,alexander mccobin,,usa,north america,convinced of agw,usa,north america,FALSE,FALSE
atlas society,liberty league,Undirected,alexander mccobin,,usa,north america,,uk,europe,TRUE,TRUE
