person;organisation;wiki_page;cat_agw_opinion;cat_occupation;cat_relgion_opinion;cat_topic;Page_Link
Tom Harris;APCO Worldwide;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=APCO_Worldwide
Frank van Dun;ARISE;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=ARISE
Frank van Dun;Fréderic Bastiat Stichting;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Fr%C3%A9deric_Bastiat_Stichting
Frank van Dun;Ludwig von Mises Institute;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ludwig_von_Mises_Institute
Frank van Dun;Ludwig von Mises Institute Europe;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Ludwig_von_Mises_Institute_Europe
Frank van Dun;Murray Rothbard Instituut;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Murray_Rothbard_Instituut
Gerd Kobal;ARISE;from_org_page;;;;tobacco;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=ARISE
Malcolm A. Kline;Accuracy in Academia;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Accuracy_in_Academia
Roger Aronoff;Accuracy in Media;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Accuracy_in_Media
Cliff Kincaid;Accuracy in Media;from_org_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Accuracy_in_Media
Cliff Kincaid;America's Survival;from_org_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=America%27s_Survival
Cliff Kincaid;Doctors for Disaster Preparedness;from_org_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Doctors_for_Disaster_Preparedness
Cliff Kincaid;Sovereignty International;from_org_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Sovereignty_International
Diane Carol Bast;Advocates for Self-Government;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Advocates_for_Self-Government
Reto Knutti;Alliance for Climate Education;from_org_page;convinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alliance_for_Climate_Education
Susan Solomon;Alliance for Climate Education;from_org_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alliance_for_Climate_Education
Stephen Schneider;Alliance for Climate Education;from_org_page;;climate scientists;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alliance_for_Climate_Education
Bernd Lucke;Alternative für Deutschland;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alternative_f%C3%BCr_Deutschland
Bruno Bandulet;Alternative für Deutschland;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alternative_f%C3%BCr_Deutschland
Stephan Boyens;Alternative für Deutschland;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alternative_f%C3%BCr_Deutschland
Michael Limburg;Alternative für Deutschland;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alternative_f%C3%BCr_Deutschland
Michael Limburg;EIKE;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=EIKE
Michael Limburg;Hausgeld-Vergleich;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Hausgeld-Vergleich
Lothar Steinbock;Alternative für Deutschland;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alternative_f%C3%BCr_Deutschland
Frauke Petry;Alternative für Deutschland;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Alternative_f%C3%BCr_Deutschland
Jonathan H. Adler;America's Future Foundation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=America%27s_Future_Foundation
Jonathan H. Adler;Consumer Alert;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Consumer_Alert
Jonathan H. Adler;Foundation for Research on Economics and the Environment;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=Foundation_for_Research_on_Economics_and_the_Environment
Grover Norquist;America's Future Foundation;from_org_page;unconvinced of agw;;;;http://ttnr.qprf.de/ccs_mediawiki28/index.php?title=America%27s_Future_Foundation
