org,org_conviction,org_country,continent,indiv,indiv_type,categorized,cat_agw_opinion,cat_occupation,cat_organisation,cat_relgion_opinion,cat_topic,country,wiki_type_x
tba productions,unconvinced of agw,unknown,unknown,kevin noesner,staff,person,,,,,,,
tba productions,unconvinced of agw,unknown,unknown,bret bennett,staff,person,,,,,,,
the james partnership,unconvinced of agw,unknown,unknown,chris rogers,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,myriam j. ortiz-herrera,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,jose l. tapia-rocha,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,luis bustamante belaunde,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,jorge fernández-baca,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,federico salazar bustamante,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,roberto salmón rodríguez,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,enrique ghersi,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,alberto mansueti,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,carlos alberto montaner,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,álvaro vargas llosa,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,terry l. anderson,members,person,unconvinced of agw,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,john blundell,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,david boaz,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,hardy bouillon,members,person,unconvinced of agw,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,jesús huerta de soto,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,chung-ho kim,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,jacob g. hornberger,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,henri lepage,members,person,unconvinced of agw,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,wendy mcelroy,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,parth j. shah,members,person,,,,,,,
instituto de libre empresa,unconvinced of agw,peru,south america,mark skousen,members,person,,,,,,,
ciima-eseade,unconvinced of agw,argentina,south america,martin krause,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,henri siegert chazan,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,margaret tse,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,mathias k. rodrigues,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,daniela tumelero,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,leandro gostisa,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,jorge antônio dib,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,ricardo santos gomes,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,claudio teitelbaum,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,gustavo lepnitz ene,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,gabriel barbosa,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,ademar xavier,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,carlos fernando souto,members,person,,,,,,,
instituto liberdade,unconvinced of agw,brazil,south america,andré burger,members,person,,,,,,,
