individual,nr organisation membership ,edges organisations total,edges organisations international,edges organisations inter-continental
henri lepage,10,45,41,29
steven f. hayward,9,36,15,15
carlo lottieri,9,36,31,18
pascal salin,8,28,25,17
walter e. williams,8,28,7,7
hardy bouillon,8,28,28,18
leonard liggio,8,28,24,19
s. fred singer,7,21,6,6
t. kenneth cribb,7,21,0,0
frank,7,21,18,10
bruce yandle,7,21,6,6
vernon l. smith,7,21,18,14
edwin j. feulner,7,21,11,11
becky norton dunlop,7,21,0,0
emeritus,7,21,6,6
gordon tullock,7,21,6,6
jacques garello,6,15,12,5
grover norquist,6,15,0,0
floy lilley,6,15,5,5
jesús huerta de soto,6,15,14,5
stop gillards,6,15,0,5
edwin meese iii,6,15,0,0
ron manners,6,15,9,9
john blundell,6,15,12,11
patrick j. michaels,5,10,0,0
victoria curzon-price,5,10,10,4
edwin meese,5,10,0,0
pierre bessard,5,10,7,0
tim congdon,5,10,4,4
richard e. wagner,5,10,0,0
stephen davies,5,10,7,4
richard vedder,5,10,0,0
ian plimer,5,10,8,8
roland vaubel,5,10,8,0
thomas,5,10,9,7
brian lee crowley,5,10,7,7
tim evans,5,10,4,4
james m. buchanan,5,10,10,8
sallie baliunas,5,10,7,4
leonard p. liggio,5,10,7,7
brecht arnaert,5,10,4,4
karl,4,6,3,3
staff,4,6,5,4
hoover institution,4,6,3,3
bonner cohen,4,6,0,0
colin berry,4,6,3,3
michael limburg,4,6,3,3
deepak lal,4,6,6,5
nils-axel mörner,4,6,5,4
jacob arfwedson,4,6,5,3
barry poulson,4,6,0,0
stephen moore,4,6,0,0
alan caruba,4,6,0,0
julian morris,4,6,6,5
paul driessen,4,6,0,0
tom palmer,4,6,5,5
peter boettke,4,6,5,5
linda whetstone,4,6,6,6
peter j. boettke,4,6,0,0
christina hoff sommers,4,6,0,0
philip morris,4,6,0,0
christopher monckton,4,6,6,5
philippe,4,6,5,0
cliff kincaid,4,6,0,0
phyllis schlafly,4,6,0,0
james q. wilson,4,6,0,0
antonio martino,4,6,5,5
david henderson,4,6,5,3
pierre desrochers,4,6,6,4
tim ball,4,6,5,3
pierre garello,4,6,5,0
kimberly o. dennis,4,6,0,0
pierre lemieux,4,6,5,4
wendy mcelroy,4,6,3,3
barbara kolm,4,6,5,3
vincent de roeck,4,6,3,3
richard ebeling,4,6,4,4
henry lamb,4,6,0,0
matthias storme,4,6,3,0
malcolm roberts,4,6,3,3
roger bate,3,3,3,2
joe bastardi,3,3,0,0
james c. miller iii,3,3,0,0
wolfgang thüne,3,3,2,2
william kristol,3,3,0,0
carrie l. lukas,3,3,0,0
roy innis,3,3,0,0
kellyanne conway,3,3,0,0
james t. bennett,3,3,0,0
kenneth green,3,3,0,0
john humphreys,3,3,2,2
kevin dowd,3,3,0,0
robert d. tollison,3,3,0,0
enrico colombatto,3,3,3,2
ron arnold,3,3,0,0
larry pratt,3,3,0,0
david rothbard,3,3,0,0
lawrence a. hunter,3,3,0,0
steve milloy,3,3,0,0
lawrence w. reed,3,3,0,0
thomas j. dilorenzo,3,3,0,0
charles r. kesler,3,3,0,0
tom mcdonnell,3,3,0,0
alan peacock,3,3,2,2
webmaster,3,3,3,3
linda chavez,3,3,0,0
robert alt,3,3,0,0
frank schäffler,3,3,0,0
robert nef,3,3,2,0
lord harris,3,3,3,2
roger ream,3,3,0,0
william l. anderson,3,3,0,0
ron robinson,3,3,0,0
willie soon,3,3,0,0
ryan c. amacher,3,3,0,0
margo thorning,3,3,2,2
steffen hentrich,3,3,0,0
mark skousen,3,3,2,2
dennis okeeffe,3,3,0,0
matt holdridge,3,3,0,0
steven milloy,3,3,0,0
george m. gray,3,3,0,0
thierry afschrift,3,3,2,0
george p. shultz,3,3,0,0
abigail thernstrom,3,3,0,0
milton friedman,3,3,2,2
todd zywicki,3,3,0,0
morgan reynolds,3,3,0,0
tom tanton,3,3,0,0
morton blackwell,3,3,0,0
john luik,3,3,2,2
morton c. blackwell,3,3,0,0
jonathan h. adler,3,3,0,0
nancie g. marzulla,3,3,0,0
richard w. rahn,3,3,0,0
nicholas eberstadt,3,3,0,0
robert balling,3,3,0,0
nigel ashford,3,3,2,2
robert j. cihak,3,3,0,0
gerd habermann,3,3,3,2
robert s. strauss,3,3,0,0
norman barry,3,3,2,2
roger helmer,3,3,2,0
gerhard schwarz,3,3,3,2
hugh morgan,3,3,3,3
gerhard stehlik,3,3,0,0
anne debeil,3,3,3,2
patrick michaels,3,3,2,2
ronald d. utt,3,3,0,0
patrick minford,3,3,0,0
ruth richardson,3,3,3,3
paul chesser,3,3,0,0
j. scott moody,3,3,0,0
bob carter,3,3,3,2
adam weinberg,3,3,0,0
paul ormerod,3,3,0,0
