connector,organisation_1,organisation_2,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
a. alan moghissi,environmental issues council,sound science in public policy,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,1,1
abigail thernstrom,center of the american experiment,john william pope center for higher education policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
abigail thernstrom,center of the american experiment,manhattan institute for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
abigail thernstrom,john william pope center for higher education policy,manhattan institute for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
adam daifallah,montreal economic institute,canadian taxpayers federation,unconvinced of agw,canada,north america,unconvinced of agw,canada,north america,0,0
adam meyerson,philanthropy roundtable,state policy network,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
adam weinberg,campus reform,leadership institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
adam weinberg,campus reform,young americans for liberty,unconvinced of agw,usa,north america,,usa,north america,0,0
adam weinberg,leadership institute,young americans for liberty,unconvinced of agw,usa,north america,,usa,north america,0,0
alan caruba,american policy center,center for the defense of free enterprise,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
alan caruba,american policy center,principia scientific international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
alan caruba,american policy center,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
alan caruba,center for the defense of free enterprise,principia scientific international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
alan caruba,center for the defense of free enterprise,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
alan caruba,principia scientific international,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
alan gottlieb,center for the defense of free enterprise,council for national policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
alan gross,tobacco institute,sound science in public policy,,usa,north america,unconvinced of agw,unknown,unknown,1,1
alan jones,conservative action network,the galileo movement,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
alan moran,australian apec study centre,clexit,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
alan oxley,australian apec study centre,world growth institute,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
alan oxley,australian apec study centre,ecipe,unconvinced of agw,australia,oceania,,belgium,europe,1,1
alan oxley,world growth institute,ecipe,unconvinced of agw,australia,oceania,,belgium,europe,1,1
alan peacock,john locke institute,institute of economic affairs,,usa,north america,unconvinced of agw,uk,europe,1,1
alan peacock,john locke institute,freedom organisation for the right to enjoy smoking tobacco,,usa,north america,,uk,europe,1,1
alan peacock,institute of economic affairs,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
alberto mingardi,the cobden centre,istituto bruno leoni,unconvinced of agw,uk,europe,unconvinced of agw,italy,europe,1,0
alex deane,the freedom association,liberty league,unconvinced of agw,uk,europe,,uk,europe,0,0
alex epstein,ayn rand center,center for industrial progress,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
alexander mccobin,atlas society,niskanen center,,usa,north america,convinced of agw,usa,north america,0,0
alexander mccobin,atlas society,liberty league,,usa,north america,,uk,europe,1,1
alexander mccobin,niskanen center,liberty league,convinced of agw,usa,north america,,uk,europe,1,1
alexandra liddy bourne,american energy freedom center,american legislative exchange council,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
allan h. meltzer,commonwealth foundation for public policy alternatives,western economic association international,unconvinced of agw,usa,north america,,usa,north america,0,0
allen dalton,ludwig von mises institute,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
alphonse crespo,campaign for fighting diseases,institut constant de rebecque,,uk,europe,,switzerland,europe,1,0
amy oliver cooke,american tradition institute,the energy environment legal institute,unconvinced of agw,usa,north america,,usa,north america,0,0
andrew p. morriss,insitute for energy research,property and environment research center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
angela logomasini,doctors for disaster preparedness,independent womens forum,unconvinced of agw,usa,north america,,usa,north america,0,0
anne applebaum,legatum institute,opinio,unconvinced of agw,usa,north america,,unknown,unknown,1,1
anne debeil,clexit,open klimaat,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,1,1
anne debeil,clexit,société eur ingénieurs et industriels,unconvinced of agw,usa,north america,,france,europe,1,1
anne debeil,open klimaat,société eur ingénieurs et industriels,unconvinced of agw,belgium,europe,,france,europe,1,0
anthony gregory,future of freedom foundation,campaign for liberty,unconvinced of agw,usa,north america,,usa,north america,0,0
anthony trewavas,scientific alliance,sense about science,unconvinced of agw,uk,europe,,uk,europe,0,0
antonio martino,forces,institute of economic affairs,,usa,north america,unconvinced of agw,uk,europe,1,1
antonio martino,forces,social affairs unit,,usa,north america,unconvinced of agw,uk,europe,1,1
antonio martino,forces,mont pelerin society,,usa,north america,,global,global,1,1
antonio martino,institute of economic affairs,social affairs unit,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
antonio martino,institute of economic affairs,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
antonio martino,social affairs unit,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
antony flew,civitas,freedom organisation for the right to enjoy smoking tobacco,,uk,europe,,uk,europe,0,0
arch coal,center for energy and economic development,illinois coal association,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
armen alchian,john locke institute,institute of economic affairs,,usa,north america,unconvinced of agw,uk,europe,1,1
arthur seldon,john locke institute,mont pelerin society,,usa,north america,,global,global,1,1
barbara kenney,freedom foundation,washington policy center,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
