org,org_country,continent,org_conviction,indiv,national,international,non_continental,continental,conenctivity_%,individuals with connections
american council on science and health,usa,north america,unconvinced of agw,362,20,9,20,9,8,29
ludwig von mises institute,usa,north america,unconvinced of agw,249,51,60,52,59,44.6,111
scholars for 9/11 truth,usa,north america,,212,3,0,3,0,1.4,3
council for national policy,usa,north america,unconvinced of agw,211,67,3,67,3,33.200000000000003,70
clexit,usa,north america,unconvinced of agw,190,27,33,29,31,31.6,60
jason,usa,north america,,183,2,0,2,0,1.1000000000000001,2
wirtschaftsclub nordoberpfalz,germany,europe,unconvinced of agw,170,1,1,1,1,1.2,2
tobacco institute,usa,north america,,152,29,6,30,5,23,35
principia scientific international,usa,north america,unconvinced of agw,108,17,13,17,13,27.8,30
alternative für deutschland,germany,europe,,108,5,6,10,1,10.199999999999999,11
center for strategic and international studies,usa,north america,,108,0,3,0,3,2.8,3
mont pelerin society,global,global,,106,0,122,0,122,115.1,122
doctors for disaster preparedness,usa,north america,unconvinced of agw,105,38,3,39,2,39,41
manhattan institute for policy research,usa,north america,unconvinced of agw,103,21,5,22,4,25.2,26
washington policy center,usa,north america,unconvinced of agw,98,4,0,4,0,4.1000000000000014,4
institute of economic affairs,uk,europe,unconvinced of agw,93,26,65,48,43,97.8,91
americans for prosperity,usa,north america,unconvinced of agw,93,7,0,7,0,7.5,7
young americas foundation,usa,north america,,90,27,0,27,0,30,27
claremont institute,usa,north america,unconvinced of agw,86,29,2,29,2,36,31
institute for humane studies,usa,north america,unconvinced of agw,85,22,21,22,21,50.6,43
john birch society,usa,north america,unconvinced of agw,81,7,0,7,0,8.6,7
national association of scholars,usa,north america,unconvinced of agw,72,19,0,19,0,26.4,19
ashbrook center for public affairs,usa,north america,unconvinced of agw,68,22,3,22,3,36.799999999999997,25
center of the american experiment,usa,north america,unconvinced of agw,66,17,3,17,3,30.3,20
ayn rand center,usa,north america,unconvinced of agw,66,1,0,1,0,1.5,1
australians for northern development and economic vision,australia,oceania,unconvinced of agw,63,4,9,4,9,20.6,13
virginia institute for public policy,usa,north america,unconvinced of agw,62,49,9,50,8,93.5,58
initiative neue soziale marktwirtschaft,germany,europe,,62,6,1,7,0,11.3,7
ecipe,belgium,europe,,59,0,18,6,12,30.5,18
atlantic institute for market studies,canada,north america,,56,6,2,6,2,14.3,8
foundation for economic education,usa,north america,unconvinced of agw,55,16,9,16,9,45.5,25
federalist society for law and public policy studies,usa,north america,unconvinced of agw,55,11,1,11,1,21.8,12
arise,usa,north america,,54,3,8,3,8,20.399999999999999,11
centre for european policy studies,europe,europe,convinced of agw,54,0,0,0,0,0,0
goldwater institute,usa,north america,unconvinced of agw,53,26,6,27,5,60.4,32
oklahoma council of public affairs,usa,north america,unconvinced of agw,53,6,0,6,0,11.3,6
